material,label,trial,timestamp,reading
plastic,0,5,1743370098.3223581,"[11.189999389648449, 3.6300014495849595, -0.19357910156259095, 2.1899902343750455, -1.8000244140624773, 2.371606445312409, -0.8999999999999773, -2.9699951171875227, -3.0491455078124545, -1.8299957275390568, -4.710003662109372, 1.0647705078124545, -3.869999504089355, 3.510000610351568, 2.7103271484375]"
plastic,0,5,1743370098.4246578,"[2.4900024414062614, 1.8300003051757798, -2.855566406250091, 0.9899780273437955, 3.3000122070312727, 10.357568359374909, 1.8000122070312727, -3.2700134277343977, -0.8711669921874545, -5.279992675781244, -0.9600036621093722, 0.09675292968745453, 0.18000068664550817, 5.610006713867193, 9.00244140625]"
plastic,0,5,1743370098.529888,"[-5.459994506835926, -2.219998931884767, -3.823583984375091, -2.4599731445312045, 2.6999755859375227, 3.339624023437409, -1.3500122070312273, -5.520013427734398, -4.5011718749999545, 1.1700042724609432, -1.1099975585937472, 10.744824218749955, -3.420000648498535, 3.9599975585937557, -8.66357421875]"
plastic,0,5,1743370098.634877,"[0.6899993896484489, 0.030001068115232954, 1.258447265624909, 2.0400268554687955, -1.1999877929687273, 2.371606445312409, 0.30001220703127274, 3.9299987792968523, 0.8228027343750455, -0.9300018310546818, 3.390002441406253, 1.3068359374999545, -2.2199998855590817, 2.3100036621093807, 1.2584228515625]"
plastic,0,5,1743370098.7361972,"[5.040005493164074, -4.6199985504150405, 3.194360351562409, 0.3900024414062955, 2.4414062522737368e-05, 9.147607421874909, -0.7499755859374773, -2.3699890136718977, 6.6307861328125455, -0.18000183105468182, -1.2599990844726534, -3.5332519531250455, 0.030000114440918324, 6.659994506835943, -5.517578125]"
plastic,0,5,1743370098.8413389,"[8.490002441406261, 2.8799995422363267, 1.016381835937409, 2.6400024414062955, -2.6999877929687273, -0.532324218750091, 0.8999877929687727, -2.2199951171875227, 3.9687988281250455, -1.9800048828124943, -4.109997558593747, -0.8711425781250455, -4.619999504089355, 2.4599975585937557, -5.0335693359375]"
plastic,0,5,1743370098.943049,"[6.090008544921886, -2.66999969482422, 4.888452148437409, 0.23997802734379547, -3.1499999999999773, 2.371606445312409, -1.3500122070312273, 0.47998657226560226, 4.4528076171875455, 2.2200073242187557, -1.8599975585937472, 3.7267578124999545, 2.2800001144409183, 0.6599945068359432, -5.517578125]"
plastic,0,5,1743370099.048285,"[5.939999389648449, 0.6299995422363267, -1.645605468750091, -1.8599975585937045, 0.44997558593752274, -3.436376953125091, -1.1999877929687273, -1.0200134277343977, 2.5167724609375455, -3.329995727539057, 3.9900009155273466, 4.6947753906249545, -4.170000648498535, -2.340005493164057, -3.5816650390625]"
plastic,0,5,1743370099.151345,"[-1.5600006103515511, -4.770000076293947, 6.340356445312409, 0.09001464843754547, -1.9499877929687273, 5.033593749999909, 4.800012207031273, 2.2800048828124773, -3.7752197265624545, -4.980004882812494, -1.4100006103515597, 4.6947753906249545, -3.119999504089355, -1.2900024414062443, 1.742431640625]"
plastic,0,6,1743370109.696604,"[2.3699951171875, 0.6899990081787095, 8.421557617187545, 1.739990234375, -5.069982910156227, 3.194433593750091, -1.97998046875, 3.2700073242187386, -2.6135986328124545, 4.950003051757818, 0.5099990844726534, -14.084399414062545, 0.8700008392333984, -0.2400054931640625, 9.050878906250091]"
